sentence,genre
im gonna danc danc danc danc ooh ,disco
till break day say ,disco
shame shame shame hey shame ,disco
cant danc ,disco
said shame shame shame shame shame shame shame ,disco
shame ,disco
cant danc ,disco
stop motion ,disco
get notion ,disco
cant stop groov ,disco
caus move ,disco
got sunroof ,disco
got diamond back ,disco
put shaki wig woman ,disco
aint comin back ,disco
shame shame shame hey shame ,disco
cant danc ,disco
said shame shame shame shame shame shame shame ,disco
shame ,disco
cant danc ,disco
want go ,disco
rememb one monkey stop show ,disco
bodi need action aint gonna blow ,disco
ye im go find dancin man ,disco
realli think fast ,disco
tri catch ,disco
said shame shame shame yeah ah shame ,disco
cant danc ,disco
shame shame shame shame shame shame shame ,disco
shame ,disco
cant danc ,disco
shame shame shame hey shame ,disco
cant danc ,disco
said shame shame shame shame shame shame shame ,disco
shame ,disco
cant danc ,disco
stop motion ,disco
get notion ,disco
cant stop groov ,disco
caus move ,disco
got sunroof ,disco
got diamond back ,disco
put shaki wig woman ,disco
aint comin back ,disco
shame shame shame hey shame ,disco
cant danc ,disco
said shame shame shame shame shame shame shame ,disco
shame ,disco
cant danc ,disco
shame shame shame shame ,disco
cant danc ,disco
shame shame shame shame ,disco
cant danc ,disco
shame shame shame shame ,disco
cant danc ,disco
someth ,disco
wanna ask ,disco
someth ,disco
want know ,disco
question ,disco
answer ,disco
tell ,disco
want know ,disco
wanna funk ,disco
tell ,disco
wanna funk ,disco
let show ,disco
wanna funk ,disco
wanna funk ,disco
tell ,disco
realli someth babi ,disco
stay ,disco
go away ,disco
lay ,disco
good lovin ya ,disco
cost babi ,disco
make pay ,disco
wanna funk ,disco
tell ,disco
wanna funk ,disco
let show ,disco
wanna funk ,disco
wanna funk ,disco
yeah let show ya yeah ,disco
get floor ,disco
like ,disco
get floor ,disco
wanna funk ,disco
tell ,disco
wanna funk ,disco
let show ,disco
wanna funk ,disco
wanna funk ,disco
hey hey hey hey hey hey hey hey ,disco
hey hey hey hey hey hey hey hey ,disco
hey hey hey hey hey hey hey hey ,disco
live certain man russia long ago ,disco
big strong eye flame glow ,disco
peopl look terror fear ,disco
moscow chick love dear ,disco
could preach bibl like preacher ,disco
full ecstasi fire ,disco
also kind teacher ,disco
woman would desir ,disco
ra ra rasputin ,disco
lover russian queen ,disco
cat realli gone ,disco
ra ra rasputin ,disco
russia greatest love machin ,disco
shame carri ,disco
rule russian land never mind czar ,disco
kazachok danc realli wunderbar ,disco
affair state man pleas ,disco
real great girl squeez ,disco
queen wheeler dealer ,disco
though shed heard thing hed done ,disco
believ holi healer ,disco
would heal son ,disco
ra ra rasputin ,disco
lover russian queen ,disco
cat realli gone ,disco
ra ra rasputin ,disco
russia greatest love machin ,disco
shame carri ,disco
drink lust ,disco
hunger power ,disco
becam known peopl ,disco
demand someth ,disco
outrag man ,disco
becam louder louder ,disco
hey hey hey hey hey hey hey hey ,disco
hey hey hey hey hey hey hey hey ,disco
hey hey hey hey hey hey hey hey ,disco
hey hey hey hey hey hey hey hey ,disco
man got go declar enemi ,disco
ladi beg tri pleas ,disco
doubt rasputin lot hidden charm ,disco
though brute fell arm ,disco
one night men higher stand ,disco
set trap theyr blame ,disco
come visit u kept demand ,disco
realli came ,disco
ra ra rasputin ,disco
lover russian queen ,disco
put poison wine ,disco
ra ra rasputin ,disco
russia greatest love machin ,disco
drank said feel fine ,disco
ra ra rasputin ,disco
lover russian queen ,disco
quit want head ,disco
ra ra rasputin ,disco
russia greatest love machin ,disco
shot til dead ,disco
oh russian ,disco
univers bboy look perfect beat ,hiphop
mortal motiv look perfect beat ,hiphop
mighti zulu nation found perfect beat ,hiphop
afrika bambaataa present perfect beat beat beat beat ,hiphop
look perfect beat search perfect beat ,hiphop
look perfect beat seek perfect beat ,hiphop
must get mine im get ,hiphop
must get mine im get ,hiphop
world music mani differ tone tell em ,hiphop
there satisfact pay action listen ,hiphop
radio hear perfect beat play hey ,hiphop
make satisfi get poni ride giddi ,hiphop
well look perfect beat peopl ,hiphop
well here perfect beat ya ,hiphop
unknown choru sing round ,hiphop
look perfect beat search perfect beat ,hiphop
look perfect beat seek perfect beat ,hiphop
must get mine im get ,hiphop
must get mine im get ,hiphop
look perfect beat ,hiphop
say like bodi rock parti ,hiphop
say like bodi rock parti ,hiphop
like bodi rock parti ,hiphop
like instant pop parti ,hiphop
student music everi singl age ,hiphop
must exercis quot shakespear life upon stage ,hiphop
say life know that right mean ,hiphop
music complet ,hiphop
thing want keep teas teas teas ,hiphop
look perfect beat peopl ,hiphop
well here perfect beat ya ,hiphop
look perfect beat ,hiphop
look perfect beat parti one top sure shot mix ,hiphop
stop futurist hit danc parti get loos get loos ,hiphop
everi time get make u wheel deal ,hiphop
bring best u real ,hiphop
gotta gotta ,hiphop
thing must round ,hiphop
music must rhythm move woman ,hiphop
spaci romant ocean that unknown ,hiphop
perfer everi moment space parad ,hiphop
psychadel shade make parti parti everybodi ,hiphop
gotta gotta ,hiphop
thing must round ,hiphop
mr bigg look perfect beat ,hiphop
pow wow look perfect beat ,hiphop
globe found perfect beat ,hiphop
peopl world look perfect beat ,hiphop
boy girl look perfect beat ,hiphop
soul sonic forc found perfect beat ,hiphop
beat ,hiphop
look perfect beat peopl ,hiphop
well here perfect beat ya ,hiphop
soulson stay aim choru sing round ,hiphop
look perfect beat ,hiphop
get left behind ,hiphop
say say say round round say round round ,hiphop
say get beat get beat ,hiphop
perfect beat perfect beat ,hiphop
gotta get mine gotta get mine ,hiphop
gotta get mine gotta get mine ,hiphop
work work ,hiphop
work work ,hiphop
say like bodi rock parti like bodi rock parti ,hiphop
say like bodi rock parti like bodi rock parti ,hiphop
like bodi rock parti like insti pop parti ,hiphop
look look look soulson forc ,hiphop
futur past ,hiphop
futur past ,hiphop
work ,hiphop
keep look search seek find ,hiphop
look search seek find ,hiphop
keep look perfect beat ,hiphop
itll help reach peak ,hiphop
keep danc perfect beat ,hiphop
itll help reach peak ,hiphop
keep look perfect beat ,hiphop
itll help reach peak ,hiphop
keep danc perfect beat ,hiphop
itll help reach peak ,hiphop
keep look perfect beat ,hiphop
itll help reach peak ,hiphop
keep danc perfect beat ,hiphop
itll help reach peak ,hiphop
yall thought yall gon see ,hiphop
im osiru shit ,hiphop
wutang forev motherfuck ,hiphop
like ninetyseven ,hiphop
aight nigga niggarett ,hiphop
let like ,hiphop
ima rub as moonshin ,hiphop
let take back seventynin ,hiphop
bomb atom socrat philosophi ,hiphop
hypothesi cant defin droppin ,hiphop
mockeri lyric perform arm robberi ,hiphop
flee lotteri possibl spot ,hiphop
battlescar shogun explos pen hit ,hiphop
tremend ultraviolet shine blind forens ,hiphop
inspect view futur see millennium ,hiphop
killa beez sold fifti gold sixti platinum ,hiphop
shackl mass drastic rap tactic ,hiphop
graphic display melt steel like blacksmith ,hiphop
black wu jacket queen beez eas gun ,hiphop
rumblin patrolman tear ga lace function ,hiphop
head score take flight incit war ,hiphop
chick hit floor die hard fan demand ,hiphop
behold bold soldier control globe slowli ,hiphop
proce blow swingin sword like shinobi ,hiphop
stomp ground pound footprint solid rock ,hiphop
wu got lock performin live hottest block ,hiphop
world turn spread like germ ,hiphop
bless globe pestil hardhead never learn ,hiphop
testament burn ,hiphop
play posit game life stand firm ,hiphop
foreign land jump gun fri pan fire ,hiphop
transform ghostrid six pack ,hiphop
streetcar name desir got back ,hiphop
line fire hold back ,hiphop
peopl fuck ,hiphop
nigga strap tri twist beer cap ,hiphop
court adjourn bad seed bad sperm ,hiphop
herb got wig fri like bad perm blood ,hiphop
clot smoke pot blow spot ,hiphop
want think twice think ,hiphop
iron lung aint got ta tell come ,hiphop
gun navaron tear battl zone ,hiphop
rip slum ,hiphop
twist dart heart tri true ,hiphop
loot voic lp team slang rock ,hiphop
certifi chatterbox vocabulari donna talk ,hiphop
tell stori walk ,hiphop
take cover kid run brother kid ,hiphop
run team six camp rhyme groupi ,hiphop
squeez advantag get wast ,hiphop
deadli note reign suprem ,hiphop
fort basic compar mine ,hiphop
domino effect art craft ,hiphop
paragraph contain cyanid ,hiphop
take free ride thought got fashion ,hiphop
catalog yall prais god ,hiphop
saga continu ,hiphop
wutang wutang ,hiphop
olymp torch flame burn sweet ,hiphop
thrill victori agoni defeat ,hiphop
crush slow flame delux slow ,hiphop
judgment day cometh conquer war ,hiphop
allow u escap hell glow spin bomb ,hiphop
pocket full shell sky golden arm ,hiphop
tune spit shit immort combat sound ,hiphop
fake fals step make blood stain ground ,hiphop
jungl junki vigilant tantrum ,hiphop
death kiss cap squeez anoth anthem ,hiphop
hold ransom tranquil anesthet ,hiphop
orchestra grace music ballerina ,hiphop
music sicili rich california smell ,hiphop
axe killer adventur paint pictur well ,hiphop
sing song sings sippin ginseng ,hiphop
righteou wax chaperon rotat ring king ,hiphop
watch wooden soldier seecyph punk hold u ,hiphop
thousand men rush one nigga sober ,hiphop
perpendicular squar stand bold like flare ,hiphop
escap dragon lair particular ,hiphop
beat travel like vortex spine ,hiphop
top cerebr cortex ,hiphop
make feel like bust nut raw sex ,hiphop
enter right ventricl clog bloodstream ,hiphop
termin like grand central station ,hiphop
program fat baselin novat ,hiphop
get drunk like fuck im duckin fiveyear probat ,hiphop
war mass outcom disastr ,hiphop
mani victim famili save ash ,hiphop
million name wall engrav plaqu ,hiphop
went back receiv penalti act ,hiphop
anoth heart torn close one gone ,hiphop
stray nigga get slay song ,hiphop
track render helpless suffer multipl stab wound ,hiphop
leak sound that heard ,hiphop
ninetythre million mile away came one ,hiphop
repres nation gather ,hiphop
mass come pay respect wutang clan ,hiphop
engag battl crowd scream rage ,hiphop
high chief jamelahrief take stage ,hiphop
light provid spark energi ,hiphop
mind travel rhyme form ,hiphop
give sight blind ,hiphop
dumb mostli intrigu drum ,hiphop
death one save shell ,hiphop
relentless attack track spare none ,hiphop
yo yo yo fuck look crab nigga laid back ,hiphop
lampin like gray black puma man rack ,hiphop
codein forc drink ,hiphop
navi green salamand fiend bitch never heard scream ,hiphop
twofac scum slum got whole bodi numb ,hiphop
blow like shalamar eightyon ,hiphop
sound convinc thousand dollar court convent ,hiphop
hand like sonni liston get fli permiss hold ,hiphop
fuck allah fasten wig bad luck ,hiphop
humili separ english dutch ,hiphop
black nobl drew ali ,hiphop
came three like genoves ,hiphop
caesar need green ,hiphop
earth ninetythre million mile first ,hiphop
rough turbul wave burst split megahertz ,hiphop
hey yo that amaz gun mouth talk verbal foul ,hiphop
connect thought make man shai walk ,hiphop
swift notar wutang highris ,hiphop
new york gank advis world tranquil ,hiphop
dosag deleg clan explos ,hiphop
pen blow line feroci ,hiphop
mediterranean see ya number one traffic ,hiphop
sit beat god deleg god see god ,hiphop
swift chancellor flex whitegold tarantula ,hiphop
track truck diesel play weed god substantiala ,hiphop
max mostli undivid slide sicken ,hiphop
guarante mad em jump like rod strickland ,hiphop
hello ,hiphop
meani meani meani meani say ,hiphop
meani meani meani meani say ,hiphop
meani meani meani meani mean ,hiphop
meani meani meani meani say ,hiphop
meani meani meani meani say ,hiphop
meani meani meani meani mean okay ,hiphop
hello soul ,hiphop
troopin wit jungl patrol ,hiphop
one ko knockout ,hiphop
who holdin buddi ,hiphop
hold ,hiphop
wait minut ,hiphop
wait ,hiphop
gonna talk buddi plate ,hiphop
let herd gate ,hiphop
make sure level straight jungl ,hiphop
jungl jungl brother brother ,hiphop
de la soul soul ,hiphop
black medallion gold ,hiphop
hangin wit po hangin wit mase ,hiphop
buddi buddi buddi face ,hiphop
lap jimbrowski must wear cap ,hiphop
case young girl like clap ,hiphop
aint wind begin ,hiphop
initi buddi slap ,hiphop
next ,hiphop
im qtip tribe call quest ,hiphop
quest buddi fe ,hiphop
jimmi want nothin best best ,hiphop
best ooh wee ,hiphop
let stick jimmi see catch ,hiphop
stick em stick em jimmi ,hiphop
next need unless ,hiphop
jenni wanna get right flesh ,hiphop
lie love buddi ,hiphop
caus never let walk ,hiphop
come jenni seem seriou ,hiphop
like peak freen ,hiphop
buddi act occur lip ,hiphop
jenni jimmi start shootin gift ,hiphop
boy let get shot even riff ,hiphop
buddi buddi know make go nutti ,hiphop
im glad fuddi duddi ,hiphop
skinni chubbi ,hiphop
soft like silli putti ,hiphop
miss crabtre hope mad ,hiphop
caus told buddi ,hiphop
make ever horni ,hiphop
junglelist horni ,hiphop
dial buddi talk ,hiphop
plug two ,hiphop
q tip ,hiphop
side sometim flip ,hiphop
gotta gotta flip record ,hiphop
buddi bud daisi tree ,hiphop
luuden doremi ,hiphop
pleaser man plug 3 ,hiphop
plug 3 get buddi ,hiphop
behind bush buddi like way push ,hiphop
like champ knock ,hiphop
never ever sellin ,hiphop
oh let loos juic ,hiphop
buddi help ,hiphop
de la soul ,hiphop
keepin jimmi total control ,hiphop
without buddi id roll ,hiphop
hey girl heard ya lookin good time ,hiphop
quest soul here well find ,hiphop
whole lot fun lot fun togeth ,hiphop
like kissin cousin yeah that kinda clever ,hiphop
close like bosom bosom stay close ,hiphop
buddi toast ,hiphop
like ethel mert lucil macgillicuddi ,hiphop
mine buddi ,hiphop
best buddi even wear ,hiphop
long lovin le tru know he ,hiphop
feel sorri pay fare fee word ,hiphop
beg teas buddi right leg ,hiphop
readi what said buddi best bed ,hiphop
fli buddi told u get circl ,hiphop
said worri caus hurt ,hiphop
realli wanna freak freak u ,hiphop
watch check swatch ,hiphop
see time ,hiphop
soul form buddi line ,hiphop
buddi mine mine ,hiphop
tribe jungl de la soul ,hiphop
club ritual unfold ,hiphop
grab bone start swingin hand ,hiphop
jenni start flockin everywher ,hiphop
caus jenifa want stay awar ,hiphop
yo fella keep awar ,hiphop
mmm hmm yeah ,hiphop
know aint stoppin tha dogg im droppin ,hiphop
friday night everythang poppin ,hiphop
got skin let spin da hand ,hiphop
let tha game begin ,hiphop
yakiti yak jump back ,hiphop
callin earl tha car phone ,hiphop
mack 10 got court ,hiphop
rollin tha hood super sport ropin hort ,hiphop
eighteen got tha rearview mirror vibratin ,hiphop
deep dish dayton ,hiphop
know ,hiphop
aint nuttin tha floss ,hiphop
overcrowdin harrison walk ,hiphop
caus ya fuck wit ,hiphop
leav scar ,hiphop
g ride car ,hiphop
livin like star ,hiphop
might hit tha highway ,hiphop
tha vega run fool caus friday ,hiphop
oh yeah throw ya neighborhood tha air ,hiphop
ya care ,hiphop
standin outsid friday livin tha edg ,hiphop
caus got dem hard head ,hiphop
seem like waitin ,hiphop
drive playin tag wit satan ,hiphop
chillin yeah readi willin ,hiphop
ya hear tha latest westsid killin ,hiphop
forti sippin ,hiphop
set trippin ,hiphop
fo dippin ,hiphop
get tha grip ,hiphop
neva slippin ,hiphop
bg tryin tah hang ,hiphop
og said take ya littl as tha hous ,hiphop
big homey got ,hiphop
use tah he crack ad ,hiphop
he bout hard darth vada ,hiphop
sweat shirt khaki chuck taylor ,hiphop
see drive way ,hiphop
gettin beat like smoka fool caus friday ,hiphop
must like dat chase da cat ,hiphop
settl hoodrat ,hiphop
dooki braid dreadlock ,hiphop
flyin jail chicken cock ,hiphop
love caus ,hiphop
tah fuck around wit tha underground pussyhound ,hiphop
as big round wide ,hiphop
jack makin nigga tah ride ,hiphop
smokin indo ,hiphop
playin dat super nintendo ,hiphop
hear rat tat tat window ,hiphop
gave as dat pelvic thrust ,hiphop
trust tha rubber caus bound tah bust ,hiphop
tha oven tha nappi ,hiphop
two happi ,hiphop
caus dat hivll make ya dick hang sideway ,hiphop
dat aint cool fool caus friday ,hiphop
throw tha west side da air ,hiphop
throw tha east side da air ,hiphop
throw tha south side da air ,hiphop
throw tha north side da air ,hiphop
oh yeah ,hiphop
ooh noohh noohh ,hiphop
ooh noohh noohh ,hiphop
ooh noohh noohh ,hiphop
ooh noohh noohh ,hiphop
chaka khan chaka khan ,hiphop
aint good that truth ,hiphop
thang aint goin like think ,hiphop
care think see ,hiphop
thang want know look ,hiphop
god know done paid due ,hiphop
cant chang feel caus youwhoahhhaohhyeah ,hiphop
wish could littl bit upfront ,hiphop
weigh situat want right ,hiphop
lovin claim four letter word ,hiphop
third letter invitin visual verb ,hiphop
curv thoughtway handlin candleabra ,hiphop
sittin babi grand ,hiphop
transmittin like made man ,hiphop
paint funni face like chick ,hiphop
see ima tell quick ,hiphop
cant believ built larg pizza pie togeth pepperoni ,hiphop
yeah want extra chees sometim gave extra ,hiphop
divid slice like red sea theori ,hiphop
mose hopelessli scorn thorn zapora ,hiphop
tri bring fairytal life want horror ,hiphop
microscop see cope ,hiphop
bolt left dead sea ,hiphop
better im satisfi reppin ,hiphop
certifi hot drop lukewarm ,hiphop
back spot claimin never gone ,hiphop
niggaz cut u wanna reattach u ,hiphop
girl brush u say want unverifi dial ,hiphop
yeah give as number lumber pile ,hiphop
catch curv kick ,hiphop
show lovin brick ,hiphop
stick plan come shakin hand ,hiphop
like peep aint beef sure understand ,hiphop
u aint ,hiphop
chaka khan chaka khan ,hiphop
see kid schemin done cop ,hiphop
alway schemin ,hiphop
steadi fiendin moment get u block ,hiphop
alway fiendin ,hiphop
peopl might back ,hiphop
need watch front ,hiphop
inde aint nothin guarante ,hiphop
that truth thing aint goin like think ,hiphop
lot say wanna walk size 10 ,hiphop
aight here pair ,hiphop
lace em tight might feel dealt ,hiphop
see aint young boy keep clear head ,hiphop
tryin keep pocket stuf like deer head ,hiphop
upon wall gall get yall faze ,hiphop
mind biz walk away ,hiphop
caus im never gonna let insid maze ,hiphop
care think see ,hiphop
thang want know look ,hiphop
god know done paid due ,hiphop
cant chang feel caus youwhoahhaohh ,hiphop
chaka khan chaka khan ,hiphop
yeah yeah ,hiphop
get as hurra ,hiphop
uh ice cube babi ,hiphop
ninetynin babi ,hiphop
im grind babi ,hiphop
time babi ,hiphop
show someth ,hiphop
put back ,hiphop
put as ,hiphop
put back ,hiphop
put as ,hiphop
put back ,hiphop
put as ,hiphop
ticticboom ,hiphop
hear bang back street ,hiphop
bumpin blackstreet treat like athlet ,hiphop
life aint track meet marathon ,hiphop
fuck cemeteri nigga get buri ,hiphop
club till day die ,hiphop
nigga ask bartend think lie ,hiphop
think high nigga think ,hiphop
caus sink swim ,hiphop
got think win ,hiphop
drink hen ,hiphop
everybodi know ,hiphop
caus aint go ,hiphop
pray lord pull ,hiphop
cuss bust ,hiphop
go nigga rout ,hiphop
make trigger shout uh ,hiphop
tri smoke ounc ,hiphop
pronounc shit ,hiphop
babi bounc tit ,hiphop
mama move hip ,hiphop
babi shake cheek ,hiphop
got dick day ,hiphop
got as week yeah yeah ,hiphop
stop get get ,hiphop
that real ,hiphop
stop nigga hit ,hiphop
,hiphop
im gon gon ,hiphop
gon ,hiphop
put back ,hiphop
put as ,hiphop
put back ,hiphop
put as ,hiphop
put back ,hiphop
put as ,hiphop
want fun love one ,hiphop
thug one rel cousin ,hiphop
got em dozen ,hiphop
buzzin quick say fuck husband ,hiphop
nigga lock away ,hiphop
extra love one aint got date ,hiphop
hit checkmat ice cube great ,hiphop
soon get word rush safe ,hiphop
fuck licens plate life great ,hiphop
matter rich folk aint straight ,hiphop
im still come underground gangsta shit ,hiphop
matter mani nigga say aint shit bitch ,hiphop
stop get get ,hiphop
that real ,hiphop
stop nigga hit ,hiphop
,hiphop
im gon gon ,hiphop
gon ,hiphop
put back ,hiphop
put as ,hiphop
put back ,hiphop
put as ,hiphop
put back ,hiphop
put as ,hiphop
hard core rhyme hard time grind ,hiphop
pimp hoe ,hiphop
nigga wine dine ,hiphop
gotta love pup shit ,hiphop
pass mud shit ,hiphop
pocket flood shit ,hiphop
og lyric blood shit ,hiphop
rent buy shit ,hiphop
nigga jealou shit ,hiphop
unawar young nigga get fli shit ,hiphop
root recruit ,hiphop
nigga 68 whoop ,hiphop
hood shoot caus wife whoop ,hiphop
come padr gold size jar ,hiphop
past strife got star award ,hiphop
time playa hate mack paper chase ,hiphop
came substat hip hop nation ,hiphop
mo hit mo bigga illeg weight figga ,hiphop
done develop statu platinum plu nigga ,hiphop
bust first asshol show hit ,hiphop
keep push quit ,hiphop
stop till get ,hiphop
stop get get ,hiphop
that real ,hiphop
stop nigga hit ,hiphop
,hiphop
im gon gon ,hiphop
gon ,hiphop
put back ,hiphop
put as ,hiphop
put back ,hiphop
put as ,hiphop
put back ,hiphop
put as ,hiphop
put back ,hiphop
put as ,hiphop
stop get get ,hiphop
stop nigga hit ,hiphop
im gon gon ,hiphop
gon ,hiphop
put back ,hiphop
put as ,hiphop
put back ,hiphop
put as ,hiphop
put as ,hiphop
club ,hiphop
freaki gyrat close fornic ,hiphop
club ,hiphop
freaki gyrat close fornic ,hiphop
yeah uhhuh ice cube westsid connect ,hiphop
know ,hiphop
puttin constantli ,hiphop
get as hurrah ,hiphop
1 2 1 2 yo check jump right ,hiphop
want everybodi put work put gun ,hiphop
report pit gravel pit ,hiphop
leav problem home leav child home ,hiphop
gon take back underground bobbi boulder ,hiphop
wutang clan yo mind one time ,hiphop
jump jump nigga ,hiphop
check gravel pit ,hiphop
mysteri unravel ,hiphop
wutang cd travel ,hiphop
go grain cant handl ,hiphop
ha holocaust land lost ,hiphop
behold pale hors cours cours ,hiphop
follow wutang gotta ,hiphop
best thing sinc stark clark wallabe ,hiphop
african killer bee blackwatch ,hiphop
radio blowin yo watt ,hiphop
park hill hous haunt hill ,hiphop
everi time walk back get chill ,hiphop
let peel want talk rap skill ,hiphop
spit like semiautomat grill ,hiphop
elbow greas elbow room ,hiphop
babi play babi fall go boom ,hiphop
parti peopl gather round count apocalyps ,hiphop
im kid golden arm ,hiphop
im motherfuckin hott nikk pa blunt ,hiphop
nigga front ,hiphop
minut seem like month ,hiphop
im chokin smokin hopin ,hiphop
croakin overdosin ,hiphop
hey kid walk straight master high ,hiphop
wu meth got open open let ride ,hiphop
cant stand nigga floss much ,hiphop
cant stand bentley cost much ,hiphop
kid wanna get kid get touch ,hiphop
kid wanna stick kid get stuck ,hiphop
im one call bluff ,hiphop
boy tri act tough ,hiphop
rememb ol dirti said ill fuck yo as ,hiphop
listen ,hiphop
back back forth forth ,hiphop
e english extinguish style extremist ,hiphop
bald head beamer run wild ,hiphop
kid gold cup ,hiphop
step like ,hiphop
what poppin yall nigga dobo ,hiphop
blastin shae shae chocol shorta ,hiphop
rich color mock rock day ,hiphop
1960 shit im goldi ,hiphop
that right motherfuck hold ,hiphop
world greatest la vega paid rock ,hiphop
skin paint face look ageless ,hiphop
perfect combo ghost bang condo ,hiphop
jeff hamo ex three bango ,hiphop
banco stank hoe plain cloth ,hiphop
chang bang old old ,hiphop
yeah yall straight jump right ,hiphop
gravel pit word repres rock boulder ,hiphop
rich gangsta style killer yall know time ,hiphop
shorti thing get shit right boo ,hiphop
that im talkin bout ,hiphop
yo step groov move like ,hiphop
shoot gift cours ruthless ,hiphop
grab mic excus ,hiphop
sec grab tec loot ,hiphop
execut shake set im break heck ,hiphop
im take bet move best want dram next ,hiphop
stank got bigger bank ,hiphop
bigger shank fill tank ,hiphop
still kill real crank ,hiphop
slide die fri bake ,hiphop
admir great fire wit heart hate ,hiphop
bitter shark everi part take heavi dart quak ,hiphop
okay fake get caught dropkick ,hiphop
know thrill ye park hill ,hiphop
yo hit em hot grit ,hiphop
go check flow say wu rock shit ,hiphop
stop quick hold gossip stop sweat pocket ,hiphop
hear hot shit ,hiphop
check gravel pit ,hiphop
mysteri unravel ,hiphop
wutang cd travel ,hiphop
go grain cant handl ,hiphop
move mountain ,hiphop
give enough strength climb ,hiphop
oh lord take away stumbl vow ,hiphop
lead round ,hiphop
yakub maker creator devil ,hiphop
swine merchant time near hand ,hiphop
fuck time ,hiphop
presenc effect mind peopl like fever ,hiphop
yakub bearer nine thousand nine hundr nineti nine diseas ,hiphop
evil corrupt porkchopeatin brain ,hiphop
let flow let go ,hiphop
slow low tempo ,hiphop
let flow let go ,hiphop
slow low tempo ,hiphop
never old school brand new ,hiphop
everybodi catch bugaloo flu ,hiphop
like fever like cold ,hiphop
beat clear rhyme bold ,hiphop
see doctor see nurs ,hiphop
listen music first thing first ,hiphop
first get wall ,hiphop
time parti ball ,hiphop
slow get hell ,hiphop
like volcano ill erupt ,hiphop
got determin bass high ,hiphop
white castl fri come one size ,hiphop
see get ,hiphop
aint seen noth yet ,hiphop
let flow let go ,hiphop
slow low tempo ,hiphop
let flow let go ,hiphop
slow low tempo ,hiphop
sing make def song ,hiphop
could live whole life hope live long ,hiphop
gong show get gong ,hiphop
beasti boy cheech chong ,hiphop
strong ox fresh box ,hiphop
crowd live theyr come flock ,hiphop
go crowd go ,hiphop
hard rock there noth soft ,hiphop
let flow let go ,hiphop
slow low tempo ,hiphop
let flow let go ,hiphop
slow low tempo ,hiphop
let flow let go ,hiphop
slow low tempo ,hiphop
let flow let go ,hiphop
slow low tempo ,hiphop
rock hous well hous rock ,hiphop
stroll roll straight top ,hiphop
mca adrock mike make three ,hiphop
like place ,hiphop
im record reward ,hiphop
know song def caus applaud ,hiphop
pcp lsd mike place ,hiphop
free must pay fee ,hiphop
cash deliveri like cod ,hiphop
let flow let go ,hiphop
slow low tempo ,hiphop
let flow let go ,hiphop
slow low tempo ,hiphop
beat slow order danc ,hiphop
want hear do cant ,hiphop
first move leg arm ,hiphop
fast nervou danc calm ,hiphop
truli stabl ought abl ,hiphop
danc record turntabl ,hiphop
let flow let go ,hiphop
slow low tempo ,hiphop
let flow let go ,hiphop
slow low tempo ,hiphop
let flow let go ,hiphop
slow low tempo ,hiphop
let flow let go ,hiphop
slow low tempo ,hiphop
rock hous parti drop hat yeah ,hiphop
beat biter aluminum bat ,hiphop
lot peopl jonesin hear rock mic ,hiphop
theyll stare radio ,hiphop
stay night ,hiphop
like pimp im pimpin ,hiphop
got boat eat shrimp ,hiphop
noth wrong leg bboy limpin ,hiphop
got arrest mardi gra jump float ,hiphop
man mca got beard like billi goat ,hiphop
oowah oowah disco call ,hiphop
mca huhuh im gettin rope yall ,hiphop
routin bust rhyme write ,hiphop
ill bust routin rhyme night ,hiphop
like eat burger chicken pick nose ,hiphop
im time homi that go ,hiphop
heard style think miss point ,hiphop
joint ,hiphop
mike yeah bad self run thing ,hiphop
what bad breath onion ring ,hiphop
well im mike im back dead ,hiphop
chillin beach club med ,hiphop
make anoth record caus peopl want ,hiphop
sucker say take adam horovitz ,hiphop
hurrican got clout ,hiphop
dj hell take head ,hiphop
puppet string im paid sing rhyme ,hiphop
thing im ,hiphop
lava lamp insid brain hotel ,hiphop
might peakin freakin rock well ,hiphop
patti duke wrench bust tango ,hiphop
got rhyme jamaica got mango kangol ,hiphop
got peg leg end stump ,hiphop
shake rump ,hiphop
full clout yall ,hiphop
full clout yall ,hiphop
mic mouth turn yall ,hiphop
full clout ,hiphop
never dump caus im mackinest ,hiphop
never jump caus im known packinest ,hiphop
yeah weve got beef chief ,hiphop
knock teeth chief ,hiphop
believ u question belief keith ,hiphop
im like sam butcher bring alic meat ,hiphop
like fred flintston drive around bald foot ,hiphop
anoth sip skip ,hiphop
back ride bust whippet ,hiphop
rope dope dooki around neck ,hiphop
whoo ha got check ,hiphop
run law press parent ,hiphop
name michael diamond ,hiphop
mine clarenc ,hiphop
downtown manhattan villag ,hiphop
style wild know still ,hiphop
disco bag schlep bump ,hiphop
shake rump ,hiphop
ive got skill pay bill ya ,hiphop
got got got skill pay bill ,hiphop
ive got skill pay bill ,hiphop
ah got got skill pay bill ,hiphop
im mike im bustin trap kit haha ,hiphop
time come im go rap yeah ,hiphop
rip van winkl gonna wake ,hiphop
mc pick hobbi gonna take ,hiphop
well stage im known break fool huh ,hiphop
im tabl futterman rule wohoo ,hiphop
workin game caus time tax ,hiphop
im crazi mission wax bob mack shit ,hiphop
top till last drop yeah ,hiphop
ill make tape rhyme say ,hiphop
im sell sex rhyme pound ,hiphop
horni mc watch get around agh shit ,hiphop
skill pay bill ,hiphop
got got got skill pay bill ,hiphop
got got got skill pay bill ,hiphop
